Camp,Crop_Yield_Kg,Type_Crop_Yield,Harvest_Year
Entkraal,340.9923236,Crop_YieldA,2001
Entkraal,1139.410251,Crop_YieldA,2004
Entkraal,0,Crop_YieldA,2009
Entkraal,0,Crop_YieldA,2016
Entkraal,19452.15,Crop_YieldB,2001
Entkraal,19452.15,Crop_YieldB,2004
Entkraal,10366.65,Crop_YieldB,2009
Entkraal,12157.425,Crop_YieldB,2016
Entkraal,19908,Actual,2001
Entkraal,3390.9,Actual,2004
Entkraal,6904,Actual,2009
Entkraal,13060,Actual,2016
