52,52,2000-12-30T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,0,24.16779211,-33.6982994,446,19212,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
104,104,2001-12-29T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,0,24.16779211,-33.6982994,446,19212,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
156,156,2002-12-28T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,0,24.16779211,-33.6982994,446,19212,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
208,208,2003-12-27T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,0,24.16779211,-33.6982994,446,19212,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
260,260,2004-12-25T00:00:00.0000000,11.7633,Hartman,71.04375965,6484.05,0,2004-2010,30,0,2004,24.16779211,-33.6982994,446,19212,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
313,313,2005-12-31T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2004,24.16779211,-33.6982994,446,10037,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
365,365,2006-12-30T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2004,24.16779211,-33.6982994,446,979,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
417,417,2007-12-29T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2004,24.16779211,-33.6982994,446,1008,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
469,469,2008-12-27T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2004,24.16779211,-33.6982994,446,1046,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
521,521,2009-12-26T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2004,24.16779211,-33.6982994,446,1080,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
573,573,2010-12-25T00:00:00.0000000,11.7633,Hartman,1265.830876,523.4625,0,2004-2010,30,0,2010,24.16779211,-33.6982994,446,1740,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
626,626,2011-12-31T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2010,24.16779211,-33.6982994,446,2202,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
678,678,2012-12-29T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2010,24.16779211,-33.6982994,446,3019,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
730,730,2013-12-28T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2010,24.16779211,-33.6982994,446,4401,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
782,782,2014-12-27T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2010,24.16779211,-33.6982994,446,4899,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
833,833,2015-12-19T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2010,24.16779211,-33.6982994,446,7237,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
887,887,2016-12-31T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2010,24.16779211,-33.6982994,446,11108,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
935,935,2017-12-02T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2010,24.16779211,-33.6982994,446,11587,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
991,991,2018-12-29T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2010,24.16779211,-33.6982994,446,11769,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
1043,1043,2019-12-28T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2010,24.16779211,-33.6982994,446,11769,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
1095,1095,2020-12-26T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,0,2010,24.16779211,-33.6982994,446,11764,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
1142,1142,2021-11-20T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,2021,2010,24.16779211,-33.6982994,446,11756,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
1200,1200,2022-12-31T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,2021,2010,24.16779211,-33.6982994,446,11763,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
1252,1252,2023-12-30T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,2021,2010,24.16779211,-33.6982994,446,11771,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
1304,1304,2024-12-28T00:00:00.0000000,11.7633,Hartman,0,0,0,2004-2010,30,2021,2010,24.16779211,-33.6982994,446,11768,-33.6982994,24.16779211,0371284f-08f9-4f23-b0fd-8aac90d7acba
